iteration,c0,m0,s0,mx0,mn0
0,2,0.122322,0.0159362,0.138258,0.106386
1,2,0.122333,0.016117,0.13845,0.106216
2,2,0.122345,0.0162977,0.138643,0.106047
3,2,0.122357,0.0164783,0.138835,0.105879
4,2,0.122369,0.0166588,0.139028,0.10571
5,2,0.122381,0.0168392,0.139221,0.105542
6,2,0.122394,0.0170192,0.139413,0.105375
7,2,0.122407,0.0171992,0.139606,0.105208
8,2,0.12242,0.017379,0.139799,0.105041
9,2,0.122433,0.0175588,0.139992,0.104875
10,2,0.122447,0.0177386,0.140185,0.104708
11,2,0.12246,0.0179182,0.140379,0.104542
12,2,0.122474,0.0180977,0.140572,0.104377
13,2,0.122489,0.018277,0.140766,0.104212
14,2,0.122503,0.0184561,0.140959,0.104047
15,2,0.122518,0.0186351,0.141153,0.103883
16,2,0.122533,0.0188141,0.141347,0.103718
17,2,0.122548,0.018993,0.14154,0.103555
18,2,0.122563,0.0191718,0.141734,0.103391
19,2,0.122578,0.0193504,0.141928,0.103227
20,2,0.122593,0.0195291,0.142122,0.103064
21,2,0.122609,0.0197077,0.142316,0.102901
22,2,0.122624,0.0198861,0.142511,0.102738
23,2,0.12264,0.0200643,0.142705,0.102576
24,2,0.122656,0.0202424,0.142899,0.102414
25,2,0.122673,0.0204204,0.143093,0.102252
26,2,0.122689,0.0205982,0.143287,0.102091
27,2,0.122706,0.0207758,0.143481,0.10193
28,2,0.122722,0.0209531,0.143675,0.101769
29,2,0.122739,0.0211302,0.14387,0.101609
30,2,0.122757,0.0213074,0.144064,0.101449
31,2,0.122774,0.0214845,0.144258,0.101289
32,2,0.122791,0.0216613,0.144453,0.10113
33,2,0.122809,0.0218379,0.144647,0.100971
34,2,0.122828,0.0220143,0.144842,0.100813
35,2,0.122846,0.0221906,0.145036,0.100655
36,2,0.122864,0.0223667,0.145231,0.100498
37,2,0.122883,0.0225426,0.145426,0.100341
38,2,0.122902,0.0227183,0.145621,0.100184
39,2,0.122922,0.0228939,0.145815,0.100028
40,2,0.122941,0.0230691,0.14601,0.0998721
41,2,0.122961,0.0232443,0.146205,0.0997167
42,2,0.122981,0.0234194,0.1464,0.0995618
43,2,0.123001,0.0235944,0.146596,0.0994069
44,2,0.123022,0.0237691,0.146791,0.0992527
45,2,0.123043,0.0239436,0.146986,0.0990991
46,2,0.123064,0.024118,0.147182,0.0989458
47,2,0.123085,0.0242923,0.147377,0.0987927
48,2,0.123106,0.0244665,0.147573,0.09864
49,2,0.123128,0.0246405,0.147769,0.0984878
50,2,0.12315,0.0248144,0.147965,0.0983357
51,2,0.123172,0.0249881,0.14816,0.0981843
52,2,0.123195,0.0251616,0.148356,0.0980333
53,2,0.123218,0.0253348,0.148552,0.0978829
54,2,0.123241,0.0255077,0.148749,0.0977333
55,2,0.123264,0.0256806,0.148945,0.0975837
56,2,0.123288,0.0258533,0.149141,0.0974345
57,2,0.123312,0.0260258,0.149337,0.0972859
58,2,0.123336,0.026198,0.149534,0.0971379
59,2,0.12336,0.0263698,0.14973,0.0969906
60,2,0.123385,0.0265415,0.149927,0.0968437
61,2,0.12341,0.0267132,0.150123,0.0966968
62,2,0.123435,0.0268847,0.15032,0.0965506
63,2,0.123461,0.0270561,0.150517,0.0964044
64,2,0.123486,0.0272276,0.150714,0.0962584
65,2,0.123512,0.0273987,0.15091,0.096113
66,2,0.123538,0.0275698,0.151107,0.0959677
67,2,0.123563,0.0277408,0.151304,0.0958226
68,2,0.12359,0.0279114,0.151501,0.0956782
69,2,0.123616,0.0280818,0.151698,0.0955343
70,2,0.123643,0.0282522,0.151895,0.0953904
71,2,0.123669,0.0284223,0.152092,0.0952471
72,2,0.123696,0.0285923,0.152289,0.095104
73,2,0.123724,0.028762,0.152486,0.0949617
74,2,0.123751,0.0289314,0.152683,0.09482
75,2,0.12378,0.0291005,0.15288,0.0946791
76,2,0.123808,0.0292695,0.153077,0.0945385
77,2,0.123837,0.0294382,0.153275,0.0943985
78,2,0.123866,0.0296067,0.153472,0.094259
79,2,0.123895,0.029775,0.15367,0.0941201
80,2,0.123925,0.029943,0.153868,0.0939816
81,2,0.123954,0.0301109,0.154065,0.0938434
82,2,0.123984,0.0302787,0.154263,0.0937055
83,2,0.124014,0.0304462,0.154461,0.0935683
84,2,0.124045,0.0306135,0.154658,0.0934314
85,2,0.124076,0.0307806,0.154856,0.093295
86,2,0.124106,0.0309476,0.155054,0.0931589
87,2,0.124138,0.0311142,0.155252,0.0930235
88,2,0.124169,0.0312807,0.15545,0.0928884
89,2,0.124201,0.0314471,0.155648,0.0927535
90,2,0.124232,0.0316135,0.155846,0.0926188
91,2,0.124264,0.0317795,0.156044,0.0924848
92,2,0.124297,0.0319455,0.156242,0.0923511
93,2,0.124329,0.0321112,0.15644,0.0922178
94,2,0.124362,0.0322769,0.156639,0.0920848
95,2,0.124394,0.0324424,0.156837,0.091952
96,2,0.124427,0.0326077,0.157035,0.0918196
97,2,0.124461,0.0327729,0.157234,0.0916878
98,2,0.124494,0.0329379,0.157432,0.0915562
99,2,0.124528,0.0331026,0.15763,0.0914253
100,2,0.124562,0.0332669,0.157829,0.0912952
101,2,0.124596,0.0334311,0.158027,0.0911654
102,2,0.124631,0.0335948,0.158226,0.0910363
103,2,0.124666,0.0337584,0.158425,0.0909078
104,2,0.124702,0.0339216,0.158623,0.09078
105,2,0.124737,0.0340843,0.158822,0.0906531
106,2,0.124774,0.0342469,0.15902,0.0905267
107,2,0.12481,0.0344093,0.159219,0.0904004
108,2,0.124846,0.0345716,0.159418,0.0902746
109,2,0.124883,0.0347335,0.159616,0.0901493
110,2,0.12492,0.0348954,0.159815,0.0900244
111,2,0.124957,0.0350568,0.160014,0.0899003
112,2,0.124995,0.035218,0.160213,0.0897767
113,2,0.125033,0.0353787,0.160411,0.089654
114,2,0.125071,0.0355392,0.16061,0.0895319
115,2,0.12511,0.0356993,0.160809,0.0894105
116,2,0.125149,0.0358594,0.161008,0.0892894
117,2,0.125188,0.0360193,0.161207,0.0891685
118,2,0.125227,0.0361788,0.161406,0.0890485
119,2,0.125267,0.0363382,0.161605,0.0889288
120,2,0.125307,0.0364972,0.161804,0.08881
121,2,0.125348,0.036656,0.162004,0.0886917
122,2,0.125388,0.0368145,0.162203,0.088574
123,2,0.12543,0.0369725,0.162402,0.0884572
124,2,0.125471,0.0371304,0.162601,0.0883405
125,2,0.125512,0.0372882,0.162801,0.0882243
126,2,0.125554,0.0374455,0.163,0.088109
127,2,0.125597,0.0376024,0.163199,0.0879945
128,2,0.12564,0.0377591,0.163399,0.0878806
129,2,0.125683,0.0379153,0.163598,0.0877676
130,2,0.125726,0.0380714,0.163798,0.0876549
131,2,0.12577,0.0382271,0.163997,0.0875428
132,2,0.125814,0.0383827,0.164197,0.0874312
133,2,0.125858,0.0385379,0.164396,0.0873204
