iteration,n_agents,c0,m0,s0,mx0,mn0
0,50,5,0.163203,0.0550641,0.233647,0.076876
1,50,6,0.18568,0.0710272,0.297898,0.0769698
2,50,7,0.224802,0.116184,0.459488,0.0770636
3,50,7,0.224816,0.116174,0.45954,0.0771575
4,50,7,0.22483,0.116165,0.459592,0.0772514
5,50,7,0.224844,0.116156,0.459645,0.0773456
6,50,7,0.224858,0.116148,0.459698,0.07744
7,50,7,0.224873,0.116139,0.459751,0.0775348
8,50,7,0.224887,0.11613,0.459805,0.0776295
9,50,7,0.224901,0.116122,0.459859,0.0777244
10,50,7,0.224916,0.116114,0.459913,0.0778196
11,50,7,0.224931,0.116106,0.459968,0.0779152
12,50,7,0.224946,0.116098,0.460024,0.0780111
13,50,7,0.224961,0.11609,0.460079,0.0781071
14,50,7,0.224976,0.116082,0.460135,0.0782034
15,50,7,0.224991,0.116074,0.46019,0.0783001
16,50,7,0.225006,0.116067,0.460247,0.0783968
17,50,7,0.225021,0.11606,0.460303,0.0784936
18,50,7,0.225037,0.116052,0.46036,0.0785909
19,50,7,0.225052,0.116045,0.460417,0.0786882
20,50,9,0.259802,0.122972,0.460475,0.078786
21,50,8,0.239161,0.114751,0.460533,0.0788835
22,50,8,0.239194,0.11476,0.460591,0.0789812
23,50,8,0.239227,0.114769,0.46065,0.0790792
24,50,8,0.23926,0.114778,0.46071,0.0791776
25,50,8,0.239293,0.114787,0.46077,0.0792757
26,50,8,0.239326,0.114797,0.460829,0.0793739
27,50,8,0.239359,0.114807,0.46089,0.079472
28,50,8,0.239393,0.114817,0.460951,0.0795705
29,50,8,0.239426,0.114827,0.461012,0.0796689
30,50,8,0.239459,0.114837,0.461074,0.0797672
31,50,8,0.239492,0.114848,0.461136,0.0798653
32,50,8,0.239526,0.114858,0.461199,0.0799636
33,50,8,0.239559,0.114869,0.461262,0.0800621
34,50,8,0.239593,0.11488,0.461325,0.0801611
35,50,8,0.239626,0.114891,0.461389,0.08026
36,50,9,0.260328,0.123097,0.461453,0.0803593
37,50,8,0.239694,0.114913,0.461517,0.080459
38,50,8,0.239728,0.114925,0.461582,0.0805587
39,50,8,0.239762,0.114936,0.461647,0.0806586
40,50,8,0.239796,0.114948,0.461713,0.0807587
41,50,8,0.23983,0.11496,0.461779,0.0808586
