iteration,c0,m0,s0,mx0,mn0
0,3,0.0586423,0.0365568,0.109859,0.0269294
1,3,0.0587886,0.0365714,0.110017,0.0270125
2,3,0.0589356,0.0365858,0.110175,0.0270972
3,3,0.0590833,0.0366,0.110334,0.0271836
4,3,0.0592317,0.0366138,0.110493,0.0272718
5,3,0.0593805,0.0366274,0.110652,0.0273612
6,3,0.0595297,0.0366407,0.110812,0.0274517
7,3,0.0596796,0.0366539,0.110971,0.0275437
8,3,0.05983,0.0366669,0.111132,0.0276371
9,3,0.059981,0.0366795,0.111292,0.0277321
10,3,0.0601325,0.0366919,0.111452,0.0278283
11,3,0.0602845,0.0367044,0.111613,0.0279254
12,3,0.0604372,0.0367165,0.111775,0.0280243
13,3,0.0605902,0.0367284,0.111936,0.0281242
14,3,0.0607437,0.0367402,0.112098,0.0282251
15,3,0.0608976,0.0367519,0.11226,0.0283271
16,3,0.0610519,0.0367632,0.112422,0.0284302
17,3,0.0612065,0.0367743,0.112584,0.0285344
18,3,0.0613617,0.0367852,0.112747,0.02864
19,3,0.0615175,0.0367959,0.11291,0.0287471
20,3,0.061674,0.0368064,0.113073,0.0288555
21,3,0.0618309,0.0368168,0.113237,0.0289652
22,3,0.0619883,0.036827,0.113401,0.0290759
23,3,0.0621461,0.0368373,0.113565,0.0291875
24,3,0.0623044,0.0368472,0.11373,0.0293004
25,3,0.062463,0.0368569,0.113894,0.0294144
26,3,0.0626222,0.0368665,0.114059,0.0295298
27,3,0.0627819,0.0368758,0.114225,0.0296466
28,3,0.0629422,0.0368847,0.11439,0.029765
29,3,0.0631029,0.0368935,0.114556,0.0298842
30,3,0.0632643,0.036902,0.114722,0.0300049
31,3,0.063426,0.0369103,0.114888,0.0301268
32,3,0.0635882,0.0369186,0.115055,0.0302493
33,3,0.0637508,0.0369266,0.115222,0.030373
34,3,0.0639138,0.0369347,0.115389,0.0304977
35,3,0.0640775,0.0369424,0.115557,0.0306237
36,3,0.0642415,0.03695,0.115725,0.0307509
37,3,0.064406,0.0369573,0.115893,0.0308792
38,3,0.064571,0.0369644,0.116061,0.0310088
39,3,0.0647364,0.0369714,0.11623,0.0311391
40,3,0.0649023,0.0369785,0.116399,0.0312705
41,3,0.0650686,0.0369854,0.116569,0.0314028
42,3,0.0652353,0.0369922,0.116739,0.0315361
