iteration,n_agents,c0,m0,s0,mx0,mn0
0,50,14,0.258979,0.0958283,0.403875,0.1201
1,50,12,0.266374,0.101106,0.404068,0.119998
2,50,19,0.335894,0.141582,0.584312,0.119896
3,50,17,0.321698,0.141959,0.584388,0.119793
4,50,22,0.348329,0.147983,0.629609,0.11969
5,50,22,0.348307,0.148021,0.629469,0.119588
6,50,18,0.350976,0.158833,0.629329,0.119485
7,50,23,0.367147,0.150836,0.62919,0.119382
8,50,22,0.36722,0.154254,0.629049,0.119279
9,50,22,0.36719,0.154283,0.628909,0.119176
10,50,22,0.36716,0.154311,0.628768,0.119073
11,50,22,0.36713,0.15434,0.628627,0.11897
12,50,22,0.3671,0.154369,0.628486,0.118866
13,50,22,0.36707,0.154398,0.628344,0.118763
14,50,22,0.36704,0.154427,0.628203,0.118659
15,50,22,0.367009,0.154456,0.62806,0.118555
16,50,22,0.36698,0.154485,0.627918,0.118451
17,50,22,0.36695,0.154514,0.627775,0.118347
18,50,22,0.36692,0.154544,0.627632,0.118242
19,50,22,0.36689,0.154573,0.627489,0.118138
20,50,22,0.36686,0.154602,0.627346,0.118034
21,50,22,0.36683,0.154632,0.627202,0.117929
22,50,22,0.366801,0.154661,0.627058,0.117824
23,50,22,0.366771,0.154691,0.626915,0.11772
24,50,22,0.366741,0.154721,0.62677,0.117615
25,50,22,0.366712,0.15475,0.626626,0.117511
26,50,22,0.366682,0.15478,0.626481,0.117406
27,50,22,0.366653,0.15481,0.626336,0.117301
28,50,22,0.366623,0.15484,0.626191,0.117197
29,50,22,0.366594,0.15487,0.626046,0.117092
30,50,22,0.366565,0.1549,0.625901,0.116988
31,50,22,0.366535,0.15493,0.625756,0.116884
32,50,22,0.366506,0.15496,0.62561,0.11678
33,50,22,0.366477,0.15499,0.625465,0.116676
34,50,22,0.366447,0.15502,0.62532,0.116572
35,50,22,0.366418,0.15505,0.625174,0.116468
36,50,22,0.366389,0.15508,0.625029,0.116364
37,50,22,0.36636,0.15511,0.624883,0.11626
38,50,22,0.366331,0.155141,0.624738,0.116156
39,50,22,0.366301,0.155171,0.624592,0.116052
40,50,22,0.366272,0.155202,0.624445,0.115949
41,50,22,0.366243,0.155232,0.624299,0.115845
