iteration,c0,m0,s0,mx0,mn0,c1,m1,s1,mx1,mn1,c2,m2,s2,mx2,mn2,c3,m3,s3,mx3,mn3
0,5,0.166994,0.0787718,0.242429,0.0276604,3,0.153956,0.026603,0.175892,0.116518,2,0.127485,0.00572696,0.133212,0.121758,3,0.139412,0.0180137,0.157112,0.114694
1,7,0.213786,0.0994805,0.335204,0.027735,2,0.14313,0.026527,0.169657,0.116603,2,0.127463,0.00572143,0.133184,0.121741,3,0.139474,0.0180306,0.157202,0.114737
2,6,0.19514,0.0953653,0.335262,0.0278106,2,0.143273,0.0265839,0.169857,0.116689,2,0.127441,0.00571566,0.133157,0.121726,3,0.139537,0.0180472,0.157292,0.114781
3,6,0.195201,0.0953563,0.33532,0.0278873,2,0.143415,0.026641,0.170056,0.116774,2,0.12742,0.00570966,0.133129,0.12171,3,0.1396,0.0180636,0.157382,0.114826
4,6,0.195262,0.0953468,0.335379,0.027966,2,0.143557,0.0266982,0.170255,0.116859,2,0.127398,0.00570301,0.133101,0.121695,3,0.139664,0.0180799,0.157472,0.114871
5,6,0.195323,0.0953371,0.335438,0.0280465,2,0.143699,0.0267555,0.170454,0.116943,2,0.127377,0.005696,0.133073,0.121681,3,0.139728,0.0180959,0.157563,0.114916
6,6,0.195385,0.0953272,0.335497,0.0281286,2,0.143841,0.0268125,0.170654,0.117028,2,0.127357,0.00568899,0.133046,0.121668,3,0.139793,0.0181115,0.157653,0.114963
7,6,0.195448,0.0953171,0.335557,0.0282122,2,0.143983,0.0268694,0.170853,0.117114,2,0.127336,0.00568171,0.133018,0.121654,3,0.139858,0.0181266,0.157742,0.115011
8,6,0.19551,0.0953069,0.335617,0.0282973,2,0.144126,0.0269264,0.171052,0.117199,2,0.127316,0.00567401,0.13299,0.121642,3,0.139923,0.0181415,0.157832,0.115058
9,6,0.195573,0.0952963,0.335677,0.0283839,2,0.144268,0.0269831,0.171251,0.117285,2,0.127296,0.00566566,0.132961,0.12163,3,0.139988,0.0181564,0.157921,0.115107
10,6,0.195637,0.0952855,0.335738,0.0284721,2,0.14441,0.0270397,0.17145,0.117371,2,0.127276,0.00565713,0.132933,0.121619,3,0.140054,0.018171,0.15801,0.115155
11,6,0.195701,0.0952747,0.3358,0.0285615,2,0.144553,0.0270961,0.171649,0.117457,2,0.127257,0.00564842,0.132905,0.121609,3,0.14012,0.0181854,0.158099,0.115205
12,6,0.195765,0.095264,0.335862,0.0286518,2,0.144695,0.0271527,0.171848,0.117543,2,0.127238,0.00563935,0.132878,0.121599,3,0.140186,0.0181994,0.158188,0.115255
13,6,0.195829,0.0952529,0.335925,0.0287436,2,0.144838,0.0272091,0.172047,0.117629,2,0.12722,0.00562994,0.13285,0.12159,3,0.140253,0.0182129,0.158276,0.115306
14,6,0.195894,0.0952418,0.335988,0.0288367,2,0.14498,0.0272654,0.172246,0.117715,2,0.127202,0.00562024,0.132822,0.121582,3,0.14032,0.0182261,0.158365,0.115358
