iteration,c0,m0,s0,mx0,mn0,c1,m1,s1,mx1,mn1,c2,m2,s2,mx2,mn2,c3,m3,s3,mx3,mn3
0,3,0.135463,0.0356827,0.179725,0.0923426,3,0.11322,0.0225889,0.138216,0.083494,2,0.117776,0.0164712,0.134247,0.101304,6,0.158218,0.0188002,0.191345,0.137891
1,7,0.212052,0.0848513,0.374547,0.0921702,4,0.150176,0.0595021,0.249697,0.094714,2,0.117701,0.016583,0.134284,0.101118,7,0.17955,0.0550677,0.307526,0.137825
2,4,0.232825,0.0903542,0.374353,0.134178,4,0.147514,0.0622695,0.249893,0.0837439,2,0.117627,0.0166946,0.134322,0.100932,6,0.177515,0.0591907,0.307396,0.137759
3,6,0.236316,0.106521,0.374159,0.0918259,3,0.113473,0.0226326,0.138815,0.0838702,2,0.117553,0.0168062,0.134359,0.100747,6,0.17747,0.0591355,0.307265,0.137692
4,5,0.210125,0.0976898,0.373964,0.0916544,4,0.121229,0.0236901,0.144241,0.0839967,2,0.117479,0.016918,0.134397,0.100561,10,0.19505,0.0533207,0.307135,0.137626
5,5,0.209973,0.097666,0.37377,0.0914833,4,0.10874,0.0213857,0.139215,0.0841241,2,0.117406,0.0170299,0.134435,0.100376,7,0.183038,0.0563768,0.307005,0.137559
6,5,0.209822,0.0976421,0.373575,0.0913125,5,0.137145,0.0599184,0.250677,0.084252,2,0.117332,0.0171417,0.134473,0.10019,7,0.179465,0.0548459,0.306876,0.137493
7,5,0.20967,0.0976179,0.37338,0.0911421,3,0.113815,0.0226954,0.139615,0.0843808,2,0.117258,0.0172532,0.134511,0.100005,6,0.185138,0.0572474,0.306746,0.137427
8,5,0.209519,0.0975935,0.373185,0.0909721,4,0.150445,0.0603574,0.251068,0.0935173,2,0.117184,0.0173647,0.134549,0.0998195,6,0.185085,0.0572248,0.306617,0.13736
9,5,0.209367,0.0975689,0.37299,0.0908026,3,0.113989,0.0227283,0.140015,0.0846407,2,0.11711,0.0174761,0.134587,0.0996344,6,0.185032,0.0572027,0.306489,0.137294
10,5,0.209216,0.0975441,0.372795,0.0906336,3,0.114077,0.0227453,0.140215,0.0847713,2,0.117037,0.017587,0.134624,0.0994497,6,0.184978,0.0571808,0.30636,0.137228
11,5,0.209065,0.097519,0.3726,0.0904651,4,0.148537,0.0627142,0.251655,0.0849021,2,0.116963,0.0176979,0.134661,0.0992652,6,0.184925,0.0571594,0.306232,0.137161
12,5,0.208914,0.0974939,0.372405,0.0902967,4,0.141422,0.0457865,0.215131,0.0928345,2,0.11689,0.0178085,0.134698,0.099081,6,0.184872,0.0571384,0.306104,0.137093
13,5,0.208764,0.0974686,0.37221,0.0901286,5,0.147827,0.0562125,0.252046,0.0851658,2,0.116816,0.0179191,0.134735,0.098897,10,0.19493,0.0531859,0.305976,0.137026
14,5,0.208613,0.0974431,0.372015,0.089961,4,0.121834,0.0235578,0.14405,0.0852988,2,0.116743,0.0180295,0.134772,0.0987134,9,0.198312,0.0550114,0.305848,0.136958
15,5,0.208463,0.0974174,0.371819,0.089794,4,0.108969,0.0219883,0.141215,0.0854323,2,0.11667,0.0181396,0.134809,0.09853,7,0.197266,0.0621434,0.305721,0.136891
16,5,0.208312,0.0973915,0.371624,0.0896272,4,0.150761,0.0613408,0.252633,0.0921511,2,0.116596,0.0182495,0.134846,0.0983467,7,0.197281,0.0621215,0.305594,0.136823
17,5,0.208162,0.0973655,0.371428,0.0894605,4,0.150801,0.0614642,0.252829,0.0919802,2,0.116523,0.0183594,0.134882,0.0981636,7,0.197298,0.0620999,0.305467,0.136756
18,5,0.208012,0.0973392,0.371233,0.0892943,4,0.141565,0.0464271,0.21592,0.091809,3,0.162942,0.0674566,0.255925,0.0979806,7,0.197314,0.0620787,0.305341,0.136688
19,5,0.207862,0.0973129,0.371037,0.0891284,4,0.14159,0.0465346,0.216052,0.091638,3,0.162873,0.0674832,0.255867,0.097798,7,0.19733,0.0620581,0.305215,0.136621
20,5,0.207712,0.0972865,0.370841,0.0889628,4,0.150922,0.0618347,0.253415,0.0914671,3,0.162805,0.0675099,0.255808,0.0976156,7,0.197346,0.0620377,0.30509,0.136554
21,5,0.207563,0.0972599,0.370646,0.0887973,4,0.150963,0.0619583,0.253611,0.0912961,3,0.162738,0.0675366,0.25575,0.0974335,7,0.197363,0.0620175,0.304965,0.136487
22,5,0.207413,0.097233,0.37045,0.0886323,5,0.13808,0.0612494,0.253806,0.0863823,3,0.16267,0.0675633,0.255691,0.0972514,7,0.197379,0.0619977,0.304839,0.13642
23,5,0.207264,0.0972058,0.370254,0.0884679,4,0.109175,0.0225235,0.142815,0.0865203,3,0.162601,0.0675901,0.255632,0.0970697,7,0.197396,0.061978,0.304714,0.136353
24,5,0.207114,0.0971786,0.370058,0.0883036,4,0.151086,0.0623293,0.254196,0.0907832,3,0.162534,0.067617,0.255574,0.0968882,7,0.197412,0.0619587,0.304589,0.136286
25,5,0.206965,0.0971512,0.369862,0.0881396,4,0.141743,0.0471844,0.216852,0.0906124,3,0.162466,0.0676438,0.255515,0.096707,7,0.197429,0.0619398,0.304465,0.13622
26,5,0.206816,0.0971236,0.369666,0.0879761,4,0.15117,0.0625769,0.254587,0.0904415,3,0.162398,0.0676703,0.255456,0.0965261,7,0.197445,0.0619212,0.30434,0.136153
27,5,0.206667,0.0970959,0.36947,0.0878126,4,0.141796,0.0474027,0.21712,0.0902707,3,0.162331,0.067697,0.255397,0.0963452,7,0.197462,0.0619031,0.304216,0.136086
28,5,0.206518,0.0970681,0.369274,0.0876494,4,0.141823,0.0475122,0.217255,0.0901001,3,0.162263,0.0677235,0.255337,0.0961646,7,0.197479,0.0618856,0.304093,0.136019
29,5,0.206369,0.0970402,0.369078,0.0874862,4,0.141851,0.0476219,0.21739,0.0899293,3,0.162195,0.0677501,0.255277,0.0959841,7,0.197496,0.0618684,0.30397,0.135952
30,5,0.206221,0.097012,0.368882,0.0873235,8,0.200948,0.102467,0.375896,0.0874988,3,0.162127,0.0677766,0.255217,0.0958038,7,0.197513,0.0618515,0.303848,0.135886
31,5,0.206072,0.0969836,0.368686,0.087161,5,0.164637,0.0624329,0.255561,0.0895879,3,0.162059,0.0678029,0.255157,0.0956236,7,0.19753,0.0618352,0.303726,0.135819
32,5,0.205923,0.0969551,0.36849,0.0869987,5,0.164699,0.0625491,0.255756,0.089417,3,0.161991,0.0678294,0.255097,0.0954436,7,0.197547,0.0618192,0.303604,0.135752
33,5,0.205775,0.0969265,0.368294,0.0868366,4,0.141963,0.0480629,0.217933,0.0892459,3,0.161924,0.067856,0.255037,0.095264,7,0.197565,0.0618035,0.303484,0.135685
